// 
    Note: this is sample dataset file link to actual dataset is given in the readme of this folder only 
//
location,Basel
lat,47.75000
lon,7.50000
asl,363.653
variable,Temperature
unit,°C
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Basel Temperature [2 m elevation corrected]
20240101T0000,6.5302453
20240101T0100,6.2402453
20240101T0200,6.210245
20240101T0300,6.170245
20240101T0400,6.1602454
20240101T0500,6.130245
20240101T0600,6.020245
20240101T0700,6.040245
20240101T0800,6.290245
20240101T0900,6.8402452
20240101T1000,7.4302454
20240101T1100,8.080246
20240101T1200,8.210245
20240101T1300,8.190246
20240101T1400,8.290245
20240101T1500,8.080246
20240101T1600,7.0102453
20240101T1700,5.7202454
20240101T1800,5.2602453
20240101T1900,5.420245
20240101T2000,5.110245
20240101T2100,5.3102455
20240101T2200,5.6002455
20240101T2300,5.8302455
20240102T0000,6.1602454
